,stars,lands,sorcery,enchant,creature,mv,white,blue,black,red,green
73,0,18,48,0,9,1.9473684210526316,0.0,0.0,0.0,1.0,0.0
72,0,18,44,0,13,1.8771929824561404,0.0,0.0,0.0,1.0,0.0
69,0,24,40,6,5,2.235294117647059,0.27450980392156804,0.15686274509803902,0.568627450980392,0.0,0.0
68,0,32,20,16,1,2.413793103448276,0.875,0.0,0.0,0.125,0.0
67,0,28,24,12,1,1.9393939393939394,1.0,0.0,0.0,0.0,0.0
66,0,21,17,0,30,2.425925925925926,0.0,0.34042553191489305,0.0,0.0,0.659574468085106
64,0,28,38,12,1,1.7872340425531914,0.92,0.08,0.0,0.0,0.0
63,0,24,35,0,9,2.549019607843137,0.433962264150943,0.264150943396226,0.0,0.0,0.30188679245283
61,0,25,38,4,11,3.1020408163265305,0.557377049180327,0.442622950819672,0.0,0.0,0.0
60,0,20,22,0,29,1.2352941176470589,0.206349206349206,0.0,0.0,0.73015873015873,0.063492063492063
59,0,24,18,13,16,3.0555555555555554,0.25531914893617,0.212765957446808,0.531914893617021,0.0,0.0
57,0,22,16,4,26,2.489795918367347,0.0,0.0,0.573770491803278,0.0,0.426229508196721
55,0,36,0,3,54,4.0,0.145454545454545,0.18181818181818102,0.127272727272727,0.09090909090909001,0.45454545454545403
39,0,20,16,4,16,1.8888888888888888,0.0,0.0,0.33333333333333304,0.6666666666666661,0.0
54,0,20,26,4,27,1.6181818181818182,0.0,0.9215686274509801,0.0,0.0,0.07843137254901901
53,0,20,26,4,27,1.6181818181818182,0.0,0.9215686274509801,0.0,0.0,0.07843137254901901
51,0,20,44,0,7,1.6470588235294117,0.0,0.0,0.0,0.9636363636363631,0.036363636363636
50,0,28,17,11,19,2.5348837209302326,0.025,0.7000000000000001,0.1,0.0,0.17500000000000002
48,0,24,19,7,25,2.9411764705882355,0.0,0.618181818181818,0.38181818181818106,0.0,0.0
47,0,24,15,4,32,2.7450980392156863,0.0,0.0,0.0,0.0,1.0
46,0,21,21,6,27,1.5555555555555556,0.203125,0.0,0.578125,0.0,0.21875000000000003
45,0,21,27,0,27,1.7592592592592593,0.0,0.6296296296296291,0.0,0.37037037037037,0.0
44,0,20,3,6,34,1.9019607843137254,0.9189189189189191,0.0,0.081081081081081,0.0,0.0
43,0,24,38,0,5,3.404255319148936,0.31578947368421,0.456140350877192,0.0,0.228070175438596,0.0
42,0,26,37,0,12,2.5918367346938775,0.0,0.5740740740740741,0.0,0.0,0.42592592592592504
41,0,22,15,4,26,1.86,0.5416666666666661,0.45833333333333304,0.0,0.0,0.0
40,0,24,21,6,28,2.0,0.0,0.0,0.49019607843137203,0.0,0.5098039215686271
143,0,22,12,0,36,2.1458333333333335,0.382022471910112,0.0,0.617977528089887,0.0,0.0
